Prolific_ID,ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,key_resp_relatedness.keys,key_resp_relatedness.rt,key_resp_IsItJoke.keys,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,Correct
67c83488e67b25dcb923d96d,2.0,Joke,The key to excel in sports is to stay positive,POSITIVE,STEROIDS,ATTITUDE,7.9328,right,2.4311,right,3.187,1.0,3.3183,0
67c83488e67b25dcb923d96d,1.0,Joke,"- Is this safe to eat?
- No, it's for storing valuable objects",SAFE,BANK,HARMLESS,9.8697,right,3.2142,right,14.2852,2.0,2.5107,0
67c83488e67b25dcb923d96d,15.0,Sense1,"I asked the chief about the spies. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,6.9969,right,2.3161,left,3.9251,6.0,2.8332,0
67c83488e67b25dcb923d96d,10.0,Joke,"-Order in the court!
-Ham and cheese on rye, your Honour.",ORDER,ASK,JUDGE,7.6078,right,1.7993,left,1.789,7.0,3.0529,1
67c83488e67b25dcb923d96d,22.0,Sense2,Jellyfish can't digest food internally. They don't have guts,GUTS,COURAGE,ORGANS,6.3714,right,3.4167,right,4.2774,2.0,1.8791,1
67c83488e67b25dcb923d96d,20.0,Sense1,Prisoners don't get enough light because they don't have windows,WINDOWS,COMPUTER,GLASS,8.092,right,2.9649,right,3.1979,1.0,2.4117,1
67c83488e67b25dcb923d96d,24.0,Sense2,The square is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,5.6043,right,3.6946,right,2.7427,2.0,2.3052,1
67c83488e67b25dcb923d96d,7.0,Joke,The teacher's eyes were crossed because she could not control her pupils,PUPILS,STUDENTS,EYES,8.6177,left,2.3719,left,3.7128,6.0,2.2535,1
67c83488e67b25dcb923d96d,4.0,Joke,"Joan d'Arc was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,5.1123,right,1.8165,right,3.6686,1.0,2.3753,0
67c83488e67b25dcb923d96d,21.0,Sense2,The calendar was useful. Its pages were numbered.,NUMBERED,LIMITED,SEQUENCE,5.3775,right,1.9044,right,6.9898,2.0,2.1291,1
67c83488e67b25dcb923d96d,6.0,Joke,The problem with kleptomaniacs is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,6.2434,right,4.2659,right,1.5736,2.0,1.5511,0
67c83488e67b25dcb923d96d,28.0,Sense2,"I used to make money off my savings, but I lost the interest",INTEREST,ENTHUSIASM,EARNINGS,5.3532,right,1.7388,right,3.3488,2.0,1.8709,1
67c83488e67b25dcb923d96d,13.0,Sense1,The receptionist considered himself a teller of hard truths,TELLERS,GOSSIP,CASHIER,6.1579,right,2.7477,right,4.6037,2.0,1.4952,1
67c83488e67b25dcb923d96d,5.0,Joke,Two fish in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,5.0864,right,2.6487,left,1.6038,6.0,2.2776,1
67c83488e67b25dcb923d96d,11.0,Sense1,Cannibals don't eat rotten eggs because they taste funny,FUNNY,WEIRD,LAUGHTER,44.9656,right,1.7373,left,2.7164,6.0,1.9951,0
67c83488e67b25dcb923d96d,17.0,Sense1,Sleepy people don't want to give up their bed covers,COVERS,DUVET,IDENTITY,5.997,left,6.0379,left,4.7687,6.0,3.0415,0
67c83488e67b25dcb923d96d,29.0,Sense2,"I thought pressing the camera button was doing nothing, but then it clicked.",IT CLICKED,INSIGHT,SOUND,6.5305,right,2.8224,left,3.7431,6.0,1.8932,0
67c83488e67b25dcb923d96d,26.0,Sense2,I did not destroy the calendar. All I did was rip a day off.,DAY OFF,LEAVE,RIP,7.2642,left,6.803,left,2.5278,6.0,2.1615,0
67c83488e67b25dcb923d96d,18.0,Sense1,Why was the belt created? For holding up a pair of pants,HOLDING UP,FASTEN,ROB,5.1984,right,1.5216,left,1.8186,7.0,1.5439,0
67c83488e67b25dcb923d96d,3.0,Joke,Two cellphones got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,3.9039,right,5.7209,left,3.5458,7.0,1.5318,1
67c83488e67b25dcb923d96d,8.0,Joke,I told her I was going to make her mine. She has extracted two rubies so far,MINE,BELONG,QUARRY,8.2319,left,1.1761,right,2.4331,2.0,1.8906,0
67c83488e67b25dcb923d96d,27.0,Sense2,I told her that she was drawing her eyebrows too high; she looked angry,LOOKED,APPEARED,EXPRESSION,6.1218,left,3.5445,left,3.4663,7.0,1.8932,0
67c83488e67b25dcb923d96d,25.0,Sense2,She had a photographic negative but never developed it.,DEVELOPED,IMPROVE,FILM,4.3777,left,6.4039,right,4.9183,2.0,1.7892,1
67c83488e67b25dcb923d96d,19.0,Sense1,The toddler would only eat pasta: he was going through a stage,STAGE,THEATER,PHASE,5.2517,right,2.1559,right,2.3894,1.0,1.5592,1
67c83488e67b25dcb923d96d,12.0,Sense1,"After seeing the salad dressing, the chef was satisfied",DRESSING,NAKED,CAESAR,5.4852,right,2.7906,right,3.5498,2.0,1.5117,1
67c83488e67b25dcb923d96d,23.0,Sense2,Why did the painting cost extra? Because it was framed,FRAMED,TRAPPED,WOODEN,4.251,right,3.3396,right,1.6922,2.0,1.8604,1
67c83488e67b25dcb923d96d,30.0,Sense2,"I saw the car didn't stop at the red light, and then it hit me.",IT HIT ME,REALISE,STRIKE,7.4547,right,2.2576,right,3.8334,2.0,1.7444,1
67c83488e67b25dcb923d96d,14.0,Sense1,"I heard he was on a roll, turns out his last three books were bestsellers.",ROLL,BREAD,SUCCESS,5.2193,right,4.4908,right,3.8808,2.0,2.3921,1
67c83488e67b25dcb923d96d,16.0,Sense1,"The restaurant at the resort had great food, but no atmosphere",ATMOSPHERE,LIVELY,OXYGEN,2.9229,left,4.2871,left,6.4181,6.0,1.3781,0
67c83488e67b25dcb923d96d,9.0,Joke,"I don't like people who take drugs, for example: airport security.",TAKE,SNATCH,USE,5.9548,right,3.1195,left,2.199,6.0,1.5134,1
67c83488e67b25dcb923d96d,26.0,Sense1,I got fired from the chocolate factory. All I did was take a day off.,DAY OFF,LEAVE,RIP,4.191,left,2.9595,right,1.6848,1.0,1.4806,1
67c83488e67b25dcb923d96d,19.0,Joke,The actor fell through the floorboards: he was going through a stage,STAGE,THEATER,PHASE,7.2751,right,1.3509,left,1.7748,6.0,1.38,1
67c83488e67b25dcb923d96d,17.0,Joke,Secret agents don't sleep because they don't want to give away their covers,COVERS,DUVET,IDENTITY,8.4568,left,2.0795,right,1.1464,1.0,1.7633,0
67c83488e67b25dcb923d96d,37.0,Sense2,It's hard for leopards to have plain fur as they're always spotted.,SPOTTED,SEEN,PATTERNED,3.4469,left,1.5933,right,2.6282,2.0,1.3797,1
67c83488e67b25dcb923d96d,14.0,Joke,"I heard he was on a roll, turns out he fell asleep at the bakery.",ROLL,BREAD,SUCCESS,4.8755,left,7.0396,left,2.244,7.0,1.4803,1
67c83488e67b25dcb923d96d,22.0,Sense1,The man didn't ask her out. He didn't have the guts,GUTS,COURAGE,ORGANS,4.1756,left,1.3176,left,1.3781,6.0,1.1966,0
67c83488e67b25dcb923d96d,25.0,Sense1,She had a bright mind but never developed it.,DEVELOPED,IMPROVE,FILM,12.5632,left,1.0007,right,2.9252,2.0,1.4625,1
67c83488e67b25dcb923d96d,32.0,Sense2,"Some people believe the earth is flat, but that's just nuts!",NUTS!,SQUIRREL,CRAZY,5.658,left,2.5283,left,1.5548,7.0,1.1806,0
67c83488e67b25dcb923d96d,20.0,Joke,Mac users don't get enough sunlight because they don't have Windows,WINDOWS,COMPUTER,GLASS,8.319,left,2.7443,left,5.8738,6.0,1.2304,1
67c83488e67b25dcb923d96d,16.0,Joke,"The restaurant on the moon had great food, but no atmosphere",ATMOSPHERE,LIVELY,OXYGEN,5.8378,right,11.3831,left,1.26,7.0,1.2948,1
67c83488e67b25dcb923d96d,21.0,Sense1,The man on death row was worried. His days were numbered.,NUMBERED,LIMITED,SEQUENCE,5.8584,left,3.4236,right,1.5142,1.0,1.6291,1
67c83488e67b25dcb923d96d,33.0,Sense2,"I tried a bigger hammer to fix the painting to the wall, but I couldn't nail it.",NAIL IT,SUCCEED,RUST,5.4936,left,6.9545,right,5.2062,1.0,1.3618,1
67c83488e67b25dcb923d96d,13.0,Joke,The bank couldn't keep any secrets because it had too many tellers,TELLERS,GOSSIP,CASHIER,3.2967,right,1.3642,right,2.0264,1.0,1.613,0
67c83488e67b25dcb923d96d,15.0,Joke,"I asked the librarian for books about paranoia. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,4.9204,right,1.3664,right,1.9557,1.0,1.112,0
67c83488e67b25dcb923d96d,31.0,Sense2,"I wanted to buy a car with a gear stick, but I couldn't find a manual",MANUAL,HANDBOOK,TRANSMISSION,9.4173,right,6.8568,left,2.0584,6.0,1.0595,0
67c83488e67b25dcb923d96d,40.0,Sense2,No need to plug in the toy: its battery is charged,BATTERY,ASSAULT,POWERED,6.4474,right,1.1122,right,1.0444,1.0,1.2464,1
67c83488e67b25dcb923d96d,30.0,Sense1,"I had no idea who could have done this, and then it hit me.",IT HIT ME,REALISE,STRIKE,3.8278,right,0.9967,left,1.0648,7.0,1.0951,0
67c83488e67b25dcb923d96d,11.0,Joke,Cannibals don't eat clowns because they taste funny,FUNNY,WEIRD,LAUGHTER,8.687,right,4.9741,left,3.2093,7.0,1.1626,1
67c83488e67b25dcb923d96d,39.0,Sense2,The man had broken his hip in the winter. He had a great fall.,FALL,AUTUMN,SLIP,3.1745,right,2.5293,left,1.3669,7.0,1.014,0
67c83488e67b25dcb923d96d,35.0,Sense2,Communists love economic equality because there are no classes,CLASSES,SCHOOL,STATUS,4.7898,left,1.0741,left,3.8397,7.0,0.9466,0
67c83488e67b25dcb923d96d,29.0,Sense1,"I couldn't figure out how to solve the math problem, but then it clicked.",IT CLICKED,INSIGHT,SOUND,7.5402,left,3.8968,right,4.0928,1.0,1.374,1
67c83488e67b25dcb923d96d,18.0,Joke,Why was the belt arrested? For holding up a pair of pants,HOLDING UP,FASTEN,ROB,4.7613,left,4.0378,left,1.2226,7.0,0.896,1
67c83488e67b25dcb923d96d,12.0,Joke,"After seeing the salad dressing, the tomato turned red",DRESSING,NAKED,CAESAR,4.2736,right,8.0173,left,3.0386,7.0,0.91,1
67c83488e67b25dcb923d96d,23.0,Sense1,Why did your brother go to jail? Because he was framed,FRAMED,TRAPPED,WOODEN,3.3426,left,1.4631,right,3.1379,1.0,3.1452,1
67c83488e67b25dcb923d96d,24.0,Sense1,A mortuary can be thought of as a dead center,DEAD CENTER,COFFIN,MIDDLE,6.8868,left,1.7934,right,3.8458,1.0,1.2778,1
67c83488e67b25dcb923d96d,34.0,Sense2,"I used to vote for the left, I'm all right now.",ALL RIGHT,OK,DIRECTION,3.6602,right,2.0087,right,3.308,1.0,1.6618,1
67c83488e67b25dcb923d96d,28.0,Sense1,"I used to be into chess, but I lost interest",INTEREST,ENTHUSIASM,EARNINGS,2.0818,left,1.815,right,2.3562,1.0,1.3471,1
