ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,key_resp_relatedness.rt,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,Correct,key_resp_sentence.rt_winsor,key_resp_relatedness.rt_winsor,key_resp_IsItJoke.rt_winsor,slider_IsItFunny_responseTime_winsor,N_correct
2.0,Joke,The key to excel in sports is to stay positive,POSITIVE,STEROIDS,ATTITUDE,4.8697,1.8849,3.3482,3.0,1.7189,1.0,4.8697,1.8849,3.3482,1.7189,1
1.0,Joke,"- Is this safe to eat?
- No, it's for storing valuable objects",SAFE,BANK,HARMLESS,9.195879999999999,3.8558399999999997,3.9995800000000004,5.6,3.1503799999999997,1.0,9.036798999999998,3.8558399999999997,3.3071289999999998,2.841959999999999,5
15.0,Sense1,"I asked the chief about the spies. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,7.884033333333334,3.1177333333333337,3.2444,1.6666666666666667,3.2142666666666666,1.0,7.884033333333334,3.1177333333333337,2.6456483333333325,3.2142666666666666,3
10.0,Joke,"-Order in the court!
-Ham and cheese on rye, your Honour.",ORDER,ASK,JUDGE,5.96479,4.899489999999999,2.2151399999,5.2,3.4303,1.0,5.96479,3.543071499999999,2.2011144999,2.9463899999999996,10
22.0,Sense2,Jellyfish can't digest food internally. They don't have guts,GUTS,COURAGE,ORGANS,5.19982,2.25106,2.7796799998,1.4,2.4866800000000002,1.0,5.5464970000000005,2.25106,2.7796799998,2.4802199999999996,5
20.0,Sense1,Prisoners don't get enough light because they don't have windows,WINDOWS,COMPUTER,GLASS,5.499614285714286,2.007657142857143,1.8564,1.1428571428571428,2.2053857142857143,1.0,5.499614285714286,2.007657142857143,1.8564,2.2053857142857143,7
24.0,Sense2,The square is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,7.085114285714285,3.0419142857142853,3.217071428571429,1.7142857142857142,2.452442857142857,1.0,7.057442142857141,3.0419142857142853,2.6617985714285703,2.3046571428571423,7
7.0,Joke,The teacher's eyes were crossed because she could not control her pupils,PUPILS,STUDENTS,EYES,5.952042857142857,2.9480142857142857,2.273914285714286,5.714285714285714,2.269614285714286,1.0,5.952042857142857,2.9480142857142857,2.273914285714286,2.269614285714286,7
4.0,Joke,"Joan d'Arc was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,3.788866666666667,2.3885,1.3387833333333334,4.833333333333333,2.28875,1.0,3.788866666666667,2.3885,1.3387833333333334,2.1751,6
21.0,Sense2,The calendar was useful. Its pages were numbered.,NUMBERED,LIMITED,SEQUENCE,5.61075,3.03285,3.6620000000000004,1.6666666666666667,5.791816666666667,1.0,5.61075,3.03285,3.361298333333332,2.7013166666666657,6
6.0,Joke,The problem with kleptomaniacs is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,6.005516666666666,2.3329333333333335,1.6793500000000001,4.666666666666667,2.1015333333333333,1.0,6.005516666666666,2.3329333333333335,1.6793500000000001,2.1015333333333333,6
28.0,Sense2,"I used to make money off my savings, but I lost the interest",INTEREST,ENTHUSIASM,EARNINGS,4.4416,2.9462,2.3634500000000003,1.5,1.6017000000000001,1.0,4.4416,2.9462,2.3634500000000003,1.6017000000000001,2
13.0,Sense1,The receptionist considered himself a teller of hard truths,TELLERS,GOSSIP,CASHIER,5.011299999999999,2.745014285714286,2.2295285714285713,1.8571428571428572,1.8364857142857143,1.0,5.011299999999999,2.745014285714286,2.2295285714285713,1.8364857142857143,7
5.0,Joke,Two fish in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,6.03104,2.69084,2.4834499999000004,5.4,2.12983,1.0,5.8889594999999995,2.69084,2.400448999899999,2.12983,10
11.0,Sense1,Cannibals don't eat rotten eggs because they taste funny,FUNNY,WEIRD,LAUGHTER,4.4515,2.3493333333333335,3.4113333333333333,2.3333333333333335,1.5355333333333334,1.0,4.4515,2.3493333333333335,3.4113333333333333,1.5355333333333334,3
