Prolific_ID,ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,slider_relatedness_responseValue,slider_relatedness_responseTime,key_resp_IsItJoke.keys,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,DistanceFromCenter,Correct
5bdcf08f05ed110001ab2bbf,2.0,Joke,The key to excel in sports is to stay positive,POSITIVE,STEROIDS,ATTITUDE,8.1505,6.0,4.1488,right,1.4941,1.0,1.7809,2.0,0
5bdcf08f05ed110001ab2bbf,1.0,Joke,"- Is this safe to eat?
- No, it's for storing valuable objects",SAFE,BANK,HARMLESS,5.0415,4.0,2.9991,left,1.5912,5.0,2.1814,0.0,1
5bdcf08f05ed110001ab2bbf,15.0,Sense1,"I asked the chief about the spies. She whispered, ""They're right behind you!""",RIGHT BEHIND YOU,DANGER,LOCATION,8.5799,3.0,7.3487,right,1.4477,1.0,1.8311,1.0,1
5bdcf08f05ed110001ab2bbf,10.0,Joke,"-Order in the court!
-Ham and cheese on rye, your Honour.",ORDER,ASK,JUDGE,2.8092,3.0,6.9523,left,1.6506,3.0,1.8311,1.0,1
5bdcf08f05ed110001ab2bbf,22.0,Sense2,Jellyfish can't digest food internally. They don't have guts,GUTS,COURAGE,ORGANS,6.0133,3.0,3.9485,right,1.8993,1.0,2.2314,1.0,1
5bdcf08f05ed110001ab2bbf,20.0,Sense1,Prisoners don't get enough light because they don't have windows,WINDOWS,COMPUTER,GLASS,3.4145,5.0,2.6352,right,1.5246,1.0,1.7479,1.0,1
5bdcf08f05ed110001ab2bbf,24.0,Sense2,The square is the dead center of town,DEAD CENTER,COFFIN,MIDDLE,2.983,7.0,5.1007,right,1.3805,1.0,1.6516,3.0,1
5bdcf08f05ed110001ab2bbf,7.0,Joke,The teacher's eyes were crossed because she could not control her pupils,PUPILS,STUDENTS,EYES,4.2512,4.0,2.5656,left,1.6442,3.0,1.8311,0.0,1
5bdcf08f05ed110001ab2bbf,4.0,Joke,"Joan d'Arc was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,3.7801,6.0,3.7653,left,1.2006,3.0,1.8483,2.0,1
5bdcf08f05ed110001ab2bbf,21.0,Sense2,The calendar was useful. Its pages were numbered.,NUMBERED,LIMITED,SEQUENCE,3.2096,5.0,4.7153,right,1.1607,1.0,1.5975,1.0,1
5bdcf08f05ed110001ab2bbf,6.0,Joke,The problem with kleptomaniacs is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,3.6261,5.0,7.4651,left,1.1566,5.0,1.0812,1.0,1
5bdcf08f05ed110001ab2bbf,28.0,Sense2,"I used to make money off my savings, but I lost the interest",INTEREST,ENTHUSIASM,EARNINGS,7.6033,3.0,3.7818,left,1.5053,2.0,1.8825,1.0,0
5bdcf08f05ed110001ab2bbf,13.0,Sense1,The receptionist considered himself a teller of hard truths,TELLERS,GOSSIP,CASHIER,5.8424,6.0,3.0156,right,1.9486,1.0,1.4144,2.0,1
5bdcf08f05ed110001ab2bbf,5.0,Joke,Two fish in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,2.3509,3.0,4.1319,left,1.1467,6.0,2.8813,1.0,1
