ID,Condition,Joke,Critical,Meaning1,Meaning2,key_resp_sentence.rt,slider_relatedness_responseValue,slider_relatedness_responseTime,key_resp_IsItJoke.rt,slider_IsItFunny_responseValue,slider_IsItFunny_responseTime,DistanceFromCenter,Correct,key_resp_sentence.rt_winsor,slider_relatedness_responseTime_winsor,key_resp_IsItJoke.rt_winsor,slider_IsItFunny_responseTime_winsor
1.0,Joke,"- Is this safe to eat?
- No, it's for storing valuable objects",SAFE,BANK,HARMLESS,7.458540000000001,4.3,6.676950000000001,3.50034,4.4,3.6577399999999995,1.3,0.9,6.710051,5.650330999999999,2.4080454999999996,2.9752814999999986
1.0,Sense1,"- Is this safe locked? 
- No, I left it open on purpose",SAFE,BANK,HARMLESS,4.58705,3.2,3.13857,1.5211999999999999,1.4,1.89161,2.0,0.9,4.5884295,3.13857,1.5211999999999999,1.6455404999999996
1.0,Sense2,"- Is this safe to eat? 
- Yes, I had it for breakfast",SAFE,BANK,HARMLESS,3.93832,6.0,2.78758,2.66159,1.3,1.7287,2.0,1.0,3.9546995000000003,2.9023595,2.4205794999999997,1.73495
2.0,Joke,The key to excel in sports is to stay positive,POSITIVE,STEROIDS,ATTITUDE,17.37496,6.8,9.22222,3.09707,1.1,4.69161,2.8,0.0,5.385731,4.070777,2.3092354999999998,3.1702909999999993
2.0,Sense1,Sometimes in sports anti-doping tests are positive,POSITIVE,STEROIDS,ATTITUDE,4.24688,2.7,3.95784,1.5168300000000001,1.3,1.45862,2.1,1.0,4.24688,3.95784,1.4742339999999998,1.45862
2.0,Sense2,The key to a happy life is to stay positive,POSITIVE,STEROIDS,ATTITUDE,4.10946,6.5,5.1459,1.93871,1.2,1.65026,2.5,1.0,4.1573195,3.2313764999999997,1.9554684999999998,1.65026
3.0,Joke,Two cellphones got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,6.25735,3.5,4.67028,1.85062,5.1,2.1203200000000004,1.1,1.0,3.907279999999999,3.9159664999999997,1.85062,2.0322604999999996
3.0,Sense1,Two friends got married. The reception was fantastic,RECEPTION,SIGNAL,PARTY,3.18921,6.3,2.82748,1.6616700000000002,1.2,1.4327,2.3,1.0,3.2271895,2.82748,1.6755570000000002,1.4327
3.0,Sense2,Two cellphones were tested. The reception was fantastic,RECEPTION,SIGNAL,PARTY,4.01276,2.1,3.18344,1.69455,1.2,1.42791,1.9,1.0,4.01276,3.1865794999999997,1.69455,1.42791
4.0,Joke,"Joan d'Arc was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,4.505509999999999,5.6,5.30231,1.7360499999999999,3.4,1.98781,1.6,0.9,4.505509999999999,4.979003999999999,1.7360499999999999,1.98781
4.0,Sense1,"The lawyer was not great at her job, she got fired",FIRED,BURN,UNEMPLOYED,4.53348,6.6,2.90476,8.36131,1.1,2.24079,2.6,1.0,3.6317605,2.90476,1.8134655,2.0729204999999995
4.0,Sense2,"The oven was ready for the pizza, it was wood fired",FIRED,BURN,UNEMPLOYED,4.63181,3.5,4.11163,1.3435700000000002,1.8,1.6870999999999998,1.9,0.8,4.6557895,4.004413499999999,1.3435700000000002,1.6887
5.0,Joke,Two fish in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,9.47156,4.3,3.6008699999999996,1.5022199999999999,5.2,2.24633,1.3,1.0,4.563691,3.6008699999999996,1.5182785,2.24633
5.0,Sense1,Two fish in a tank. One says: When do you think we'll get fed?,TANK,WAR,WATER,3.7760800000000003,6.3,2.6129100000000003,1.33523,1.5,1.53664,2.3,1.0,3.7760800000000003,2.6129100000000003,1.3831669999999998,1.53664
5.0,Sense2,Two soldiers in a tank. One says: How do you drive this thing?,TANK,WAR,WATER,3.74897,1.9,3.71449,4.57537,1.6,1.59313,2.1,1.0,3.74897,3.71449,1.8639339999999998,1.59313
6.0,Joke,The problem with kleptomaniacs is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,7.9392700000000005,3.8,7.31488,2.43333,3.2,2.17884,1.4,0.6,5.1685704999999995,5.050527,2.43333,2.17884
6.0,Sense1,The problem with thieves is that they always take other people's things,TAKE,STOLEN,PERSPECTIVE,5.164689999999999,1.6,2.35678,1.15863,1.1,1.3907,2.4,1.0,4.586701499999999,2.3665195,1.204377,1.3907
6.0,Sense2,The problem with some people is that they always take things literally.,TAKE,STOLEN,PERSPECTIVE,4.55223,5.8,3.8792099999999996,10.254380000000001,1.8,1.9032799999999999,2.0,0.9,4.55223,3.8792099999999996,2.4785709999999996,1.8868704999999995
7.0,Joke,The teacher's eyes were crossed because she could not control her pupils,PUPILS,STUDENTS,EYES,4.93829,4.2,4.4882599999999995,2.0734500000000002,4.6,2.55228,1.0,0.9,4.93829,4.129023499999999,2.0734500000000002,2.4124904999999996
7.0,Sense1,The woman was cross-eyed because she could not control her pupils,PUPILS,STUDENTS,EYES,8.693729999999999,5.6,2.96056,1.7592400000000001,2.7,1.82899,1.6,0.8,4.446879999999999,2.96056,1.761117,1.83903
7.0,Sense2,The teacher was fired because she could not control her pupils,PUPILS,STUDENTS,EYES,3.2060000000000004,2.6,2.70532,1.7409,1.9,1.86163,1.8,0.8,3.2371795,2.70532,1.7409,1.86163
